# Item_Type_Classnames.txt
# These are the classnames for items that can be used in Quest or Objective json files. 
itemCategory,classname
clothes,DenimJacket
clothes,DesignerGlasses
clothes,DirtBikeHelmet_Black
clothes,DirtBikeHelmet_Blue
clothes,DirtBikeHelmet_Chernarus
clothes,DirtBikeHelmet_Green
clothes,DirtBikeHelmet_Khaki
clothes,DirtBikeHelmet_Mouthguard
clothes,DirtBikeHelmet_Police
clothes,DirtBikeHelmet_Red
clothes,DirtBikeHelmet_Visor
clothes,DressShoes_Beige
clothes,DressShoes_Black
clothes,DressShoes_Brown
clothes,DressShoes_Sunburst
clothes,DressShoes_White
clothes,EyeMask_Black
clothes,EyeMask_Blue
clothes,EyeMask_Red
clothes,EyeMask_Yellow
clothes,FirefighterJacket_Beige
clothes,FirefighterJacket_Black
clothes,FirefightersHelmet_Red
clothes,FirefightersHelmet_White
clothes,FirefightersHelmet_Yellow
clothes,FirefightersPants_Beige
clothes,FirefightersPants_Black
clothes,FlatCap_Black
clothes,FlatCap_BlackCheck
clothes,FlatCap_Blue
clothes,FlatCap_Brown
clothes,FlatCap_BrownCheck
clothes,FlatCap_Grey
clothes,FlatCap_GreyCheck
clothes,FlatCap_Red
clothes,GP5GasMask
clothes,GasMask
clothes,GasMask_Filter
clothes,GhillieAtt_Mossy
clothes,GhillieBushrag_Mossy
clothes,GhillieHood_Mossy
clothes,GhillieSuit_Mossy
clothes,GhillieTop_Mossy
clothes,GorkaEJacket_Autumn
clothes,GorkaEJacket_Flat
clothes,GorkaEJacket_PautRev
clothes,GorkaEJacket_Summer
clothes,GorkaHelmet
clothes,GorkaHelmetVisor
clothes,GorkaPants_Autumn
clothes,GorkaPants_Flat
clothes,GorkaPants_PautRev
clothes,GorkaPants_Summer
clothes,GreatHelm
clothes,HighCapacityVest_Black
clothes,HighCapacityVest_Olive
clothes,HikingBootsLow_Beige
clothes,HikingBootsLow_Black
clothes,HikingBootsLow_Blue
clothes,HikingBootsLow_Grey
clothes,HikingBoots_Black
clothes,HikingBoots_Brown
clothes,HikingJacket_Black
clothes,HikingJacket_Blue
clothes,HikingJacket_Green
clothes,HikingJacket_Red
clothes,HockeyHelmet_Black
clothes,HockeyHelmet_Blue
clothes,HockeyHelmet_Red
clothes,HockeyHelmet_White
clothes,HockeyMask
clothes,Hoodie_Black
clothes,Hoodie_Blue
clothes,Hoodie_Brown
clothes,Hoodie_Green
clothes,Hoodie_Grey
clothes,Hoodie_Red
clothes,HunterPants_Autumn
clothes,HunterPants_Brown
clothes,HunterPants_Spring
clothes,HunterPants_Summer
clothes,HunterPants_Winter
clothes,HuntingJacket_Autumn
clothes,HuntingJacket_Brown
clothes,HuntingJacket_Spring
clothes,HuntingJacket_Summer
clothes,HuntingJacket_Winter
clothes,HuntingVest
clothes,Jeans_Black
clothes,Jeans_Blue
clothes,Jeans_BlueDark
clothes,Jeans_Brown
clothes,Jeans_Green
clothes,Jeans_Grey
clothes,JoggingShoes_Black
clothes,JoggingShoes_Blue
clothes,JoggingShoes_Red
clothes,JoggingShoes_Violet
clothes,JoggingShoes_White
clothes,JumpsuitJacket_Blue
clothes,JumpsuitJacket_Gray
clothes,JumpsuitJacket_Green
clothes,JumpsuitJacket_Red
clothes,JumpsuitPants_Blue
clothes,JumpsuitPants_Green
clothes,JumpsuitPants_Grey
clothes,JumpsuitPants_Red
clothes,JungleBoots_Beige
clothes,JungleBoots_Black
clothes,JungleBoots_Brown
clothes,JungleBoots_Green
clothes,JungleBoots_Olive
clothes,LabCoat
clothes,M65Jacket_Black
clothes,M65Jacket_Khaki
clothes,M65Jacket_Olive
clothes,M65Jacket_Tan
clothes,Mace
clothes,ManSuit_Beige
clothes,ManSuit_Black
clothes,ManSuit_Blue
clothes,ManSuit_Brown
clothes,ManSuit_DarkGrey
clothes,ManSuit_Khaki
clothes,ManSuit_LightGrey
clothes,ManSuit_White
clothes,MedicalScrubsHat_Blue
clothes,MedicalScrubsHat_Green
clothes,MedicalScrubsHat_White
clothes,MedicalScrubsPants_Blue
clothes,MedicalScrubsPants_Green
clothes,MedicalScrubsPants_White
clothes,MedicalScrubsShirt_Blue
clothes,MedicalScrubsShirt_Green
clothes,MedicalScrubsShirt_White
clothes,Mich2001Helmet
clothes,MilitaryBelt
clothes,MilitaryBeret_CDF
clothes,MilitaryBeret_ChDKZ
clothes,MilitaryBeret_NZ
clothes,MilitaryBeret_Red
clothes,MilitaryBeret_UN
clothes,MilitaryBoots_Beige
clothes,MilitaryBoots_Black
clothes,MilitaryBoots_Bluerock
clothes,MilitaryBoots_Brown
clothes,MilitaryBoots_Redpunk
clothes,MimeMask_Female
clothes,MimeMask_Male
clothes,MiniDress_BlueChecker
clothes,MiniDress_BlueWithDots
clothes,MiniDress_BrownChecker
clothes,MiniDress_GreenChecker
clothes,MiniDress_Pink
clothes,MiniDress_PinkChecker
clothes,MiniDress_RedChecker
clothes,MiniDress_WhiteChecker
clothes,MotoHelmet_Black
clothes,MotoHelmet_Blue
clothes,MotoHelmet_Green
clothes,MotoHelmet_Grey
clothes,MotoHelmet_Lime
clothes,MotoHelmet_Red
clothes,MotoHelmet_White
clothes,MotoHelmet_Yellow
clothes,NBCBootsGray
clothes,NBCBootsYellow
clothes,NBCGlovesGray
clothes,NBCGlovesYellow
clothes,NBCHoodGray
clothes,NBCHoodYellow
clothes,NBCJacketGray
clothes,NBCJacketYellow
clothes,NBCPantsGray
clothes,NBCPantsYellow
clothes,NioshFaceMask
clothes,NurseDress_Blue
clothes,NurseDress_White
clothes,OKZKCap_Beige
clothes,OKZKCap_Green
clothes,OMNOGloves_Brown
clothes,OMNOGloves_Gray
clothes,OfficerHat
clothes,PaddedGloves_Beige
clothes,PaddedGloves_Brown
clothes,PaddedGloves_Threat
clothes,ParamedicJacket_Blue
clothes,ParamedicJacket_Crimson
clothes,ParamedicJacket_Green
clothes,ParamedicPants_Blue
clothes,ParamedicPants_Crimson
clothes,ParamedicPants_Green
clothes,PetushokHat_Black
clothes,PetushokHat_Green
clothes,PetushokHat_Yellow
clothes,PilotkaCap
clothes,PlateCarrierHolster
clothes,PlateCarrierHolster_Camo
clothes,PlateCarrierPouches
clothes,PlateCarrierPouches_Camo
clothes,PlateCarrierVest_Camo
clothes,PoliceCap
clothes,PoliceJacket
clothes,PoliceJacketOrel
clothes,PolicePants
clothes,PolicePantsOrel
clothes,PoliceVest
clothes,PressVest_Blue
clothes,PressVest_LightBlue
clothes,PrisonUniformJacket
clothes,PrisonUniformPants
clothes,PrisonerCap
clothes,QuiltedJacket_Black
clothes,QuiltedJacket_Blue
clothes,QuiltedJacket_Green
clothes,QuiltedJacket_Grey
clothes,QuiltedJacket_Orange
clothes,QuiltedJacket_Red
clothes,QuiltedJacket_Violet
clothes,QuiltedJacket_Yellow
clothes,RadarCap_Black
clothes,RadarCap_Blue
clothes,RadarCap_Brown
clothes,RadarCap_Green
clothes,RadarCap_Red
clothes,Raincoat_Black
clothes,Raincoat_Blue
clothes,Raincoat_Green
clothes,Raincoat_Orange
clothes,Raincoat_Pink
clothes,Raincoat_Red
clothes,Raincoat_Yellow
clothes,RidersJacket_Black
clothes,Shirt_BlueCheck
clothes,Shirt_BlueCheckBright
clothes,Shirt_GreenCheck
clothes,Shirt_PlaneBlack
clothes,Shirt_RedCheck
clothes,Shirt_WhiteCheck
clothes,ShortJeans_Black
clothes,ShortJeans_Blue
clothes,ShortJeans_Brown
clothes,ShortJeans_Darkblue
clothes,ShortJeans_Green
clothes,ShortJeans_Red
clothes,SkateHelmet_Black
clothes,SkateHelmet_Blue
clothes,SkateHelmet_Gray
clothes,SkateHelmet_Green
clothes,SkateHelmet_Red
clothes,Skirt_Blue
clothes,Skirt_Red
clothes,Skirt_White
clothes,Skirt_Yellow
clothes,SlacksPants_Beige
clothes,SlacksPants_Black
clothes,SlacksPants_Blue
clothes,SlacksPants_Brown
clothes,SlacksPants_DarkGrey
clothes,SlacksPants_Khaki
clothes,SlacksPants_LightGrey
clothes,SlacksPants_White
clothes,SmershVest
clothes,Sneakers_Black
clothes,Sneakers_Gray
clothes,Sneakers_Green
clothes,Sneakers_Red
clothes,Sneakers_White
clothes,SportGlasses_Black
clothes,SportGlasses_Blue
clothes,SportGlasses_Green
clothes,SportGlasses_Orange
clothes,Ssh68Helmet
clothes,SurgicalGloves_Blue
clothes,SurgicalGloves_Green
clothes,SurgicalGloves_LightBlue
clothes,SurgicalGloves_White
clothes,SurgicalMask
clothes,Sweater_Blue
clothes,Sweater_Gray
clothes,Sweater_Green
clothes,Sweater_Red
clothes,Sword
clothes,TShirt_Beige
clothes,TShirt_Black
clothes,TShirt_Blue
clothes,TShirt_Green
clothes,TShirt_Grey
clothes,TShirt_OrangeWhiteStripes
clothes,TShirt_Red
clothes,TShirt_RedBlackStripes
clothes,TShirt_White
clothes,TTSKOBoots
clothes,TTSKOPants
clothes,TTsKOJacket_Camo
clothes,TacticalGloves_Beige
clothes,TacticalGloves_Black
clothes,TacticalGloves_Green
clothes,TacticalGoggles
clothes,TacticalShirt_Black
clothes,TacticalShirt_Grey
clothes,TacticalShirt_Olive
clothes,TacticalShirt_Tan
clothes,TankerHelmet
clothes,TelnyashkaShirt
clothes,ThickFramesGlasses
clothes,ThinFramesGlasses
clothes,TrackSuitJacket_Black
clothes,TrackSuitJacket_Blue
clothes,TrackSuitJacket_Green
clothes,TrackSuitJacket_LightBlue
clothes,TrackSuitJacket_Red
clothes,TrackSuitPants_Black
clothes,TrackSuitPants_Blue
clothes,TrackSuitPants_Green
clothes,TrackSuitPants_LightBlue
clothes,TrackSuitPants_Red
clothes,UKAssVest_Black
clothes,UKAssVest_Camo
clothes,UKAssVest_Khaki
clothes,UKAssVest_Olive
clothes,USMCJacket_Desert
clothes,USMCJacket_Woodland
clothes,USMCPants_Desert
clothes,USMCPants_Woodland
clothes,Ushanka_Black
clothes,Ushanka_Blue
clothes,Ushanka_Green
clothes,WeldingMask
clothes,Wellies_Black
clothes,Wellies_Brown
clothes,Wellies_Green
clothes,Wellies_Grey
clothes,WinterCoif_Black
clothes,WinterCoif_Blue
clothes,WinterCoif_Green
clothes,WinterCoif_Skull
clothes,WomanSuit_Beige
clothes,WomanSuit_Black
clothes,WomanSuit_Blue
clothes,WomanSuit_Brown
clothes,WomanSuit_DarkGrey
clothes,WomanSuit_Khaki
clothes,WomanSuit_LightGrey
clothes,WomanSuit_White
clothes,WoolCoat_Beige
clothes,WoolCoat_Black
clothes,WoolCoat_BlackCheck
clothes,WoolCoat_Blue
clothes,WoolCoat_BlueCheck
clothes,WoolCoat_BrownCheck
clothes,WoolCoat_Green
clothes,WoolCoat_GreyCheck
clothes,WoolCoat_Red
clothes,WoolCoat_RedCheck
clothes,WoolGlovesFingerless_Black
clothes,WoolGlovesFingerless_Green
clothes,WoolGlovesFingerless_Tan
clothes,WoolGlovesFingerless_White
clothes,WoolGloves_Black
clothes,WoolGloves_Green
clothes,WoolGloves_Tan
clothes,WoolGloves_White
clothes,WorkingBoots_Beige
clothes,WorkingBoots_Brown
clothes,WorkingBoots_Green
clothes,WorkingBoots_Grey
clothes,WorkingBoots_Yellow
clothes,WorkingGloves_Beige
clothes,WorkingGloves_Black
clothes,WorkingGloves_Brown
clothes,WorkingGloves_Yellow
clothes,ZSh3PilotHelmet
clothes,ZmijovkaCap_Black
clothes,ZmijovkaCap_Blue
clothes,ZmijovkaCap_Brown
clothes,ZmijovkaCap_Green
clothes,ZmijovkaCap_Red
containers,AliceBag_Black
containers,AliceBag_Camo
containers,AliceBag_Green
containers,AmmoBox
containers,ArmyPouch_Beige
containers,ArmyPouch_Black
containers,ArmyPouch_Camo
containers,ArmyPouch_Green
containers,AssaultBag_Black
containers,AssaultBag_Green
containers,AssaultBag_Ttsko
containers,Bear_Beige
containers,Bear_Dark
containers,Bear_Pink
containers,Bear_White
containers,CanvasBag_Medical
containers,CanvasBag_Olive
containers,CarTent
containers,ChildBag_Blue
containers,ChildBag_Green
containers,ChildBag_Red
containers,CoyoteBag_Brown
containers,CoyoteBag_Green
containers,DryBag_Black
containers,DryBag_Blue
containers,DryBag_Green
containers,DryBag_Orange
containers,DryBag_Red
containers,DryBag_Yellow
containers,DuffelBagSmall_Camo
containers,DuffelBagSmall_Green
containers,DuffelBagSmall_Medical
containers,FirstAidKit
containers,HipPack_Black
containers,HipPack_Green
containers,HipPack_Medical
containers,HipPack_Party
containers,HuntingBag
containers,LargeTent
containers,MediumTent
containers,MediumTent_Green
containers,MediumTent_Orange
containers,MountainBag_Blue
containers,MountainBag_Green
containers,MountainBag_Orange
containers,MountainBag_Red
containers,PartyTent
containers,PartyTent_Blue
containers,PartyTent_Brown
containers,PartyTent_Lunapark
containers,Slingbag_Black
containers,Slingbag_Brown
containers,Slingbag_Gray
containers,SmallProtectorCase
containers,SmershBag
containers,TaloonBag_Blue
containers,TaloonBag_Green
containers,TaloonBag_Orange
containers,TaloonBag_Violet
containers,TortillaBag
containers,WaterproofBag_Green
containers,WaterproofBag_Orange
containers,WaterproofBag_Yellow
food,BakedBeansCan
food,BoxCerealCrunchin
food,BrisketSpread
food,Canteen
food,CatFoodCan
food,Chips
food,Crackers
food,DogFoodCan
food,ExpansionMilkBottle
food,ExpansionBread1
food,ExpansionBread2
food,ExpansionBread3
food,ExpansionCheese1
food,ExpansionCheese2
food,ExpansionCheese3
food,ExpansionCheese4
food,GreenBellPepper
food,Honey
food,Lunchmeat
food,Marmalade
food,Pajka
food,Pate
food,PeachesCan
food,PepperSeedsPack
food,PorkCan
food,PotatoSeed
food,PowderedMilk
food,PumpkinSeedsPack
food,RabbitLegMeat
food,Rice
food,SaltySticks
food,SardinesCan
food,SodaCan_Cola
food,SodaCan_Fronta
food,SodaCan_Kvass
food,SodaCan_Pipsi
food,SodaCan_Spite
food,SpaghettiCan
food,TacticalBaconCan
food,Tomato
food,TomatoSeedsPack
food,TunaCan
food,UnknownFoodCan
food,WaterBottle
food,Zagorky
food,ZagorkyChocolate
food,ZagorkyPeanuts
food,Zucchini
food,ZucchiniSeedsPack
tools,AlarmClock_Blue
tools,AlarmClock_Green
tools,AlarmClock_Red
tools,AntiChemInjector
tools,BandageDressing
tools,BarbedWire
tools,Barrel_Blue
tools,Barrel_Green
tools,Barrel_Red
tools,Barrel_Yellow
tools,BaseRadio
tools,BaseballBat
tools,Battery9V
tools,BatteryCharger
tools,BearTrap
tools,Binoculars
tools,BloodBagEmpty
tools,BloodTestKit
tools,Blowtorch
tools,BrassKnuckles_Dull
tools,BrassKnuckles_Shiny
tools,Broom
tools,BurlapSack
tools,CableReel
tools,Camonet
tools,CanOpener
tools,CanisterGasoline
tools,CarBattery
tools,CarRadiator
tools,CharcoalTablets
tools,Chemlight_Blue
tools,Chemlight_Green
tools,Chemlight_Red
tools,Chemlight_White
tools,Chemlight_Yellow
tools,ChernarusMap
tools,Cleaver
tools,CombatKnife
tools,CombinationLock
tools,CombinationLock4
tools,Compass
tools,Crowbar
tools,CrudeMachete
tools,DisinfectantAlcohol
tools,DisinfectantSpray
tools,DuctTape
tools,ElectronicRepairKit
tools,Epinephrine
tools,EpoxyPutty
tools,ExpansionHelicopterBattery
tools,ExpansionIgniterPlug
tools,ExpansionHydraulicHoses
tools,ExpansionBusWheel
tools,ExpansionBusWheelDouble
tools,ExpansionTractorFrontWheel
tools,ExpansionTractorBackWheel
tools,ExpansionCamoBoxKit
tools,ExpansionBarrierGateKit
tools,ExpansionCamoTentKit
tools,ExpansionSafeLarge
tools,ExpansionSafeMini
tools,ExpansionSafeMedium
tools,ExpansionGunrack
tools,ExpansionHelipadKit
tools,ExpansionBarbedWireKit
tools,ExpansionHescoKit
tools,ExpansionCodeLock
tools,ExpansionGPS
tools,ExpansionQuestItemPaper
tools,ExpansionQuestItemPackage
tools,ExpansionQuestItemBook
tools,Fabric
tools,FangeKnife
tools,FarmingHoe
tools,FieldShovel
tools,FirefighterAxe
tools,FireworksLauncher
tools,FishingRod
tools,Flashlight
tools,FryingPan
tools,GPSReceiver
tools,GardenLime
tools,GlowPlug
tools,Hacksaw
tools,Hammer
tools,HandSaw
tools,HandcuffKeys
tools,Handcuffs
tools,Hatchet
tools,HeadlightH7_Box
tools,Headtorch_Black
tools,Headtorch_Grey
tools,Heatpack
tools,Hook
tools,HuntingKnife
tools,IodineTincture
tools,KitchenKnife
tools,KitchenTimer
tools,KukriKnife
tools,LargeGasCanister
tools,LeatherSewingKit
tools,Lockpick
tools,LugWrench
tools,Machete
tools,Matchbox
tools,MeatTenderizer
tools,MediumGasCanister
tools,Megaphone
tools,MetalPlate
tools,MetalWire
tools,Morphine
tools,NVGHeadstrap
tools,NailBox
tools,Netting
tools,NylonKnifeSheath
tools,OrientalMachete
tools,OrienteeringCompass
tools,PainkillerTablets
tools,PersonalRadio
tools,PetrolLighter
tools,Pickaxe
tools,Pipe
tools,PipeWrench
tools,Pitchfork
tools,Pliers
tools,PortableGasLamp
tools,PortableGasStove
tools,Pot
tools,PowerGenerator
tools,PurificationTablets
tools,RabbitPelt
tools,Rangefinder
tools,RemoteDetonator
tools,Roadflare
tools,Rope
tools,SalineBag
tools,Screwdriver
tools,SeaChest
tools,SewingKit
tools,Shovel
tools,Sickle
tools,SledgeHammer
tools,SmallGasCanister
tools,SparkPlug
tools,Spotlight
tools,StartKitIV
tools,SteakKnife
tools,TetracyclineAntibiotics
tools,Thermometer
tools,TireRepairKit
tools,Tripod
tools,TruckBattery
tools,VitaminBottle
tools,WeaponCleaningKit
tools,Whetstone
tools,WoodAxe
tools,Wrench
weapons,ACOGOptic
weapons,ACOGOptic_6x
weapons,AK101
weapons,AK74
weapons,AK74_Hndgrd
weapons,AK74_WoodBttstck
weapons,AKM
weapons,AKS74U
weapons,AKS74U_Bttstck
weapons,AK_Bayonet
weapons,AK_FoldingBttstck
weapons,AK_PlasticBttstck
weapons,AK_PlasticHndgrd
weapons,AK_RailHndgrd
weapons,AK_Suppressor
weapons,AK_WoodBttstck
weapons,AK_WoodHndgrd
weapons,ASVAL
weapons,AmmoBox_00buck_10rnd
weapons,AmmoBox_12gaRubberSlug_10Rnd
weapons,AmmoBox_12gaSlug_10Rnd
weapons,AmmoBox_22_50Rnd
weapons,AmmoBox_308WinTracer_20Rnd
weapons,AmmoBox_308Win_20Rnd
weapons,AmmoBox_357_20Rnd
weapons,AmmoBox_380_35rnd
weapons,AmmoBox_45ACP_25rnd
weapons,AmmoBox_545x39Tracer_20Rnd
weapons,AmmoBox_545x39_20Rnd
weapons,AmmoBox_556x45Tracer_20Rnd
weapons,AmmoBox_556x45_20Rnd
weapons,AmmoBox_762x39Tracer_20Rnd
weapons,AmmoBox_762x39_20Rnd
weapons,AmmoBox_762x54Tracer_20Rnd
weapons,AmmoBox_762x54_20Rnd
weapons,AmmoBox_9x19_25rnd
weapons,AmmoBox_9x39AP_20Rnd
weapons,AmmoBox_9x39_20Rnd
weapons,Ammo_Flare
weapons,Ammo_FlareBlue
weapons,Ammo_FlareGreen
weapons,Ammo_FlareRed
weapons,Ammo_HuntingBolt
weapons,Aug
weapons,AugShort
weapons,B95
weapons,BUISOptic
weapons,CZ527
weapons,CZ550
weapons,CZ61
weapons,CZ75
weapons,Colt1911
weapons,Crossbow_Autumn
weapons,Crossbow_Black
weapons,Crossbow_Wood
weapons,Deagle
weapons,Deagle_Gold
weapons,Derringer_Grey
weapons,Engraved1911
weapons,ExpansionKar98ScopeOptic
weapons,ExpansionDeltapointOptic
weapons,ExpansionEXPS3HoloOptic
weapons,ExpansionHAMROptic
weapons,Expansion_PMII25Optic
weapons,ExpansionReflexMRSOptic
weapons,Expansion_M1A_RailAtt
weapons,Expansion_ANPEQ15_Red
weapons,Expansion_Kar98_Bayonet
weapons,ExpansionSatchel
weapons,ExpansionRPG7
weapons,ExpansionLAW
weapons,Expansion_Taser_Yellow
weapons,Expansion_M9
weapons,Expansion_G36
weapons,Expansion_MPX
weapons,Expansion_MP5
weapons,Expansion_MP5SD
weapons,Expansion_MP5_RailAtt
weapons,Expansion_MP7
weapons,Expansion_Kedr
weapons,Expansion_VityazSN
weapons,Expansion_M16
weapons,Expansion_M1A
weapons,Expansion_DT11
weapons,Expansion_BenelliM4
weapons,Expansion_AWM
weapons,Expansion_Kar98
weapons,AmmoBox_Expansion_46x30_25rnd
weapons,AmmoBox_Expansion_338_15rnd
weapons,Expansion_AmmoBox_8mm_15rnd
weapons,Expansion_Ammo_8mm
weapons,ExpansionAmmoRPG
weapons,ExpansionAmmoLAW
weapons,Ammo_Expansion_M203_HE
weapons,Ammo_Expansion_46x30
weapons,Ammo_Expansion_338
weapons,Mag_Expansion_Taser
weapons,Mag_Expansion_Vityaz_30Rnd
weapons,Mag_Expansion_M9_15Rnd
weapons,Mag_Expansion_MPX_50Rnd
weapons,Mag_Expansion_G36_30Rnd
weapons,Mag_Expansion_Kedr_20Rnd
weapons,Mag_Expansion_MP7_40Rnd
weapons,Mag_Expansion_AWM_5Rnd
weapons,FAL
weapons,FAMAS
weapons,FNP45_MRDSOptic
weapons,FNX45
weapons,Fal_FoldingBttstck
weapons,Fal_OeBttstck
weapons,Flaregun
weapons,Glock19
weapons,HuntingOptic
weapons,Izh18
weapons,Izh18Shotgun
weapons,Izh43Shotgun
weapons,KashtanOptic
weapons,KazuarOptic
weapons,KobraOptic
weapons,Longhorn
weapons,M14
weapons,M16A2
weapons,M4A1
weapons,M4_CQBBttstck
weapons,M4_CarryHandleOptic
weapons,M4_MPBttstck
weapons,M4_MPHndgrd
weapons,M4_OEBttstck
weapons,M4_PlasticHndgrd
weapons,M4_RISHndgrd
weapons,M4_Suppressor
weapons,M4_T3NRDSOptic
weapons,M68Optic
weapons,M79
weapons,M9A1_Bayonet
weapons,MKII
weapons,MP5K
weapons,MP5_Compensator
weapons,MP5_PlasticHndgrd
weapons,MP5_RailHndgrd
weapons,MP5k_StockBttstck
weapons,Mag_1911_7Rnd
weapons,Mag_AK101_30Rnd
weapons,Mag_AK74_30Rnd
weapons,Mag_AK74_45Rnd
weapons,Mag_AKM_30Rnd
weapons,Mag_AKM_Drum75Rnd
weapons,Mag_AKM_Palm30Rnd
weapons,Mag_Aug_30Rnd
weapons,Mag_CMAG_10Rnd
weapons,Mag_CMAG_20Rnd
weapons,Mag_CMAG_30Rnd
weapons,Mag_CMAG_40Rnd
weapons,Mag_CZ527_5rnd
weapons,Mag_CZ550_10Rnd
weapons,Mag_CZ61_20Rnd
weapons,Mag_CZ75_15Rnd
weapons,Mag_Deagle_9rnd
weapons,Mag_FAL_20Rnd
weapons,Mag_FAMAS_25Rnd
weapons,Mag_FNX45_15Rnd
weapons,Mag_Glock_15Rnd
weapons,Mag_IJ70_8Rnd
weapons,Mag_M14_10Rnd
weapons,Mag_M14_20Rnd
weapons,Mag_MKII_10Rnd
weapons,Mag_MP5_15Rnd
weapons,Mag_MP5_30Rnd
weapons,Mag_P1_8Rnd
weapons,Mag_PP19_64Rnd
weapons,Mag_Ruger1022_15Rnd
weapons,Mag_Ruger1022_30Rnd
weapons,Mag_SSG82_5rnd
weapons,Mag_STANAG_30Rnd
weapons,Mag_STANAG_60Rnd
weapons,Mag_SV98_10Rnd
weapons,Mag_SVD_10Rnd
weapons,Mag_Saiga_5Rnd
weapons,Mag_Saiga_8Rnd
weapons,Mag_Saiga_Drum20Rnd
weapons,Mag_Scout_5Rnd
weapons,Mag_UMP_25Rnd
weapons,Mag_VAL_20Rnd
weapons,Mag_VSS_10Rnd
weapons,Mag_Vikhr_30Rnd
weapons,Magnum
weapons,MakarovIJ70
weapons,Mosin9130
weapons,Mosin_Bayonet
weapons,Mosin_Compensator
weapons,Mp133Shotgun
weapons,NVGoggles
weapons,P1
weapons,PP19
weapons,PP19_Bttstck
weapons,PSO11Optic
weapons,PSO1Optic
weapons,PUScopeOptic
weapons,PistolOptic
weapons,PistolSuppressor
weapons,ReflexOptic
weapons,Repeater
weapons,Ruger1022
weapons,SKS
weapons,SKS_Bayonet
weapons,SSG82
weapons,SV98
